,tipo,centro,direccion,n_distrito,n_barrio,aceite,objectid,estado,codigo,created_user,created_date,last_edited_user,last_edited_date,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
301,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""SANT MARCEL·LÍ""","C/ SALVADOR PERLES, 12",9,094,1,88,Instalado,MA13,,,U60391,2023-05-12T12:59:21+02:00,Feature,"[-0.389796227110492, 39.44271669173513]",Point,-0.389796227110492,39.44271669173513
302,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""CREU COBERTA""","C/ TOMÀS DE VILARROYA, 17 Baix",9,094,1,92,Instalado,MA12,,,U60391,2023-05-12T13:01:28+02:00,Feature,"[-0.38813708983476886, 39.44755327831861]",Point,-0.38813708983476886,39.44755327831861
303,02-CM_PERSONES MAJORS,"CM ACTIVITAS PERSONES MAJORS ""TRAFALGAR""","C/ TRAFALGAR, 34",12,123,1,94,Instalado,MA24,,,U60391,2023-05-12T13:02:05+02:00,Feature,"[-0.3451252510320386, 39.46142790998163]",Point,-0.3451252510320386,39.46142790998163
304,04-CENTRE EDUCATIU,CEIP DOCTOR LOPEZ ROSAT,"C/ VICENT MAROTO, 1",7,073,1,97,Instalado,ED14,,,U60391,2023-05-12T13:03:08+02:00,Feature,"[-0.3959491269210414, 39.464846489713594]",Point,-0.3959491269210414,39.464846489713594
305,01-MERCAT,MERCAT DE RUSSAFA,Entrada per PL BARÓ DE CORTES,2,021,1,98,Instalado,ME02,,,U60391,2023-05-12T13:04:03+02:00,Feature,"[-0.37165924182715004, 39.46186460925452]",Point,-0.37165924182715004,39.46186460925452
306,01-MERCAT,MERCAT BENIMAMET,PL ALBORAIG,18,181,1,99,Instalado,ME10,,,U60391,2023-05-12T13:04:25+02:00,Feature,"[-0.41797673760175974, 39.498897259978804]",Point,-0.41797673760175974,39.498897259978804
307,VIA PUBLICA,,"PL ARAS DE LOS OLMOS, 4",11,115,1,102,Instalado,84,,,U60391,2023-06-08T13:59:33+02:00,Feature,"[-0.3333652588699469, 39.44851313441428]",Point,-0.3333652588699469,39.44851313441428
308,VIA PUBLICA,,"C/ GUILLERMINA MEDRANO (PRIMERA DONA REGIDORA), 13",17,177,1,108,Instalado,27,,,U60391,2023-06-08T14:07:28+02:00,Feature,"[-0.38838196588856666, 39.51507276003267]",Point,-0.38838196588856666,39.51507276003267
309,VIA PUBLICA,,"CAMI MONTCADA, 209",17,172,1,109,Instalado,25,,,U60391,2023-06-08T14:08:04+02:00,Feature,"[-0.38357793389583783, 39.504118127317675]",Point,-0.38357793389583783,39.504118127317675
310,VIA PUBLICA,,CAMI TRILLADORA DEL TOCAIO - C/ SANTÍSSIM CRIST DE LA SALUT,19,195,1,110,Instalado,22,,,U60391,2023-06-08T14:15:09+02:00,Feature,"[-0.31827474373691195, 39.31179022537853]",Point,-0.31827474373691195,39.31179022537853
315,VIA PUBLICA,,C/ SANT VICENT MARTIR - ARQUEBISBE OLAECHEA,09,094,1,127,Instalado,20,,,U60391,2023-06-12T07:54:01+02:00,Feature,"[-0.38806165435436246, 39.44305693562433]",Point,-0.38806165435436246,39.44305693562433
317,VIA PUBLICA,,"AV CID, 35 - C/ ÉNGUERA",08,081,1,130,Instalado,158,,,U60391,2023-06-12T07:56:31+02:00,Feature,"[-0.39502520462424345, 39.46772903088599]",Point,-0.39502520462424345,39.46772903088599
320,VIA PUBLICA,,AV CARDENAL BENLLOCH - C/ ERNEST FERRER,06,062,1,148,Instalado,236,,,U60391,2023-06-08T09:56:24+02:00,Feature,"[-0.35442365196912545, 39.471736513495884]",Point,-0.35442365196912545,39.471736513495884
321,VIA PUBLICA,,C/ CARTERS - C/ TOMÀS DE VILLAROYA,09,093,1,152,Instalado,170,,,U60391,2023-06-08T11:00:24+02:00,Feature,"[-0.38947037522645095, 39.447809882504664]",Point,-0.38947037522645095,39.447809882504664
324,VIA PUBLICA,,"AV PERIS I VALERO, 183",02,021,1,159,Instalado,281,,,U60391,2023-06-08T11:04:59+02:00,Feature,"[-0.3639270602984173, 39.462039731858255]",Point,-0.3639270602984173,39.462039731858255
325,VIA PUBLICA,,C/ AIORA - C/ XIVA,08,081,1,165,Instalado,11,,,U60391,2023-06-08T11:51:51+02:00,Feature,"[-0.39217749952971814, 39.46637134905663]",Point,-0.39217749952971814,39.46637134905663
330,VIA PUBLICA,,AV PRIMER DE MAIG - C/ JERONIMA GALES (IMPRESSORA),09,092,1,190,Instalado,35,,,U60391,2023-06-08T12:29:08+02:00,Feature,"[-0.3928513911081375, 39.449836852431304]",Point,-0.3928513911081375,39.449836852431304
333,VIA PUBLICA,,"C/ JUAN BALLESTER (ESCRIPTOR), F-4",17,176,1,207,Instalado,278,,,U60391,2023-06-08T12:51:49+02:00,Feature,"[-0.40602092835645437, 39.540767265119946]",Point,-0.40602092835645437,39.540767265119946
336,VIA PUBLICA,,"C/ FRANCO TORMO, FRT. 3",08,081,1,219,Instalado,02,,,U60391,2023-06-08T12:59:39+02:00,Feature,"[-0.3899877702532157, 39.45810817020804]",Point,-0.3899877702532157,39.45810817020804
337,VIA PUBLICA,,AV FRANÇA - C/ ALFRED TORAN I OLMOS (ESCULTOR),12,125,1,220,Instalado,210,,,U60391,2023-06-08T13:00:14+02:00,Feature,"[-0.3508687988280306, 39.45984143832578]",Point,-0.3508687988280306,39.45984143832578
340,VIA PUBLICA,,"CTRA RIU, 300",19,193,1,223,Instalado,16,,,U60391,2023-06-08T13:02:57+02:00,Feature,"[-0.34068409589220155, 39.422204808846196]",Point,-0.34068409589220155,39.422204808846196
